 Enter the number of points on the cylinder
 Enter the number of points on the boundary (divisible by 6)
 Enter the number of points in the interior
 Enter the number of neighbours for each point
 coefficients calculated
              x              y              u              v              p
  0.4999493E+00  0.7123552E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.4991882E+00  0.2847975E-01  0.0000000E+00  0.0000000E+00 -0.3478650E-02
  0.4958950E+00  0.6393858E-01  0.0000000E+00  0.0000000E+00 -0.2658420E-01
  0.4870646E+00  0.1129961E+00  0.0000000E+00  0.0000000E+00 -0.9480633E-01
  0.4686162E+00  0.1743528E+00  0.0000000E+00  0.0000000E+00 -0.2411996E+00
  0.4356594E+00  0.2453588E+00  0.0000000E+00  0.0000000E+00 -0.4138360E+00
  0.3830222E+00  0.3213938E+00  0.0000000E+00  0.0000000E+00 -0.4939416E+00
  0.3061438E+00  0.3953175E+00  0.0000000E+00  0.0000000E+00  0.2571304E+00
  0.2023917E+00  0.4572063E+00  0.0000000E+00  0.0000000E+00  0.1046288E+01
  0.7275961E-01  0.4946777E+00  0.0000000E+00  0.0000000E+00  0.2747517E+01
 -0.7275961E-01  0.4946777E+00  0.0000000E+00  0.0000000E+00  0.4852134E+01
 -0.2023917E+00  0.4572063E+00  0.0000000E+00  0.0000000E+00  0.6232658E+01
 -0.3061438E+00  0.3953175E+00  0.0000000E+00  0.0000000E+00  0.7470299E+01
 -0.3830222E+00  0.3213938E+00  0.0000000E+00  0.0000000E+00  0.7518654E+01
 -0.4356594E+00  0.2453588E+00  0.0000000E+00  0.0000000E+00  0.7461911E+01
 -0.4686162E+00  0.1743528E+00  0.0000000E+00  0.0000000E+00  0.7452384E+01
 -0.4870646E+00  0.1129961E+00  0.0000000E+00  0.0000000E+00  0.7464937E+01
 -0.4958950E+00  0.6393858E-01  0.0000000E+00  0.0000000E+00  0.7490862E+01
 -0.4991882E+00  0.2847975E-01  0.0000000E+00  0.0000000E+00  0.7522395E+01
 -0.4999493E+00  0.7123552E-02  0.0000000E+00  0.0000000E+00  0.7547423E+01
 -0.4999493E+00 -0.7123552E-02  0.0000000E+00  0.0000000E+00  0.7567353E+01
 -0.4991882E+00 -0.2847975E-01  0.0000000E+00  0.0000000E+00  0.7602191E+01
 -0.4958950E+00 -0.6393858E-01  0.0000000E+00  0.0000000E+00  0.7669341E+01
 -0.4870646E+00 -0.1129961E+00  0.0000000E+00  0.0000000E+00  0.7760341E+01
 -0.4686162E+00 -0.1743528E+00  0.0000000E+00  0.0000000E+00  0.7844873E+01
 -0.4356594E+00 -0.2453588E+00  0.0000000E+00  0.0000000E+00  0.8101624E+01
 -0.3830222E+00 -0.3213938E+00  0.0000000E+00  0.0000000E+00  0.8337350E+01
 -0.3061438E+00 -0.3953175E+00  0.0000000E+00  0.0000000E+00  0.8365606E+01
 -0.2023917E+00 -0.4572063E+00  0.0000000E+00  0.0000000E+00  0.6821132E+01
 -0.7275961E-01 -0.4946777E+00  0.0000000E+00  0.0000000E+00  0.4996919E+01
  0.7275961E-01 -0.4946777E+00  0.0000000E+00  0.0000000E+00  0.2627319E+01
  0.2023917E+00 -0.4572063E+00  0.0000000E+00  0.0000000E+00  0.1105575E+01
  0.3061438E+00 -0.3953175E+00  0.0000000E+00  0.0000000E+00 -0.4628537E-01
  0.3830222E+00 -0.3213938E+00  0.0000000E+00  0.0000000E+00 -0.6547253E+00
  0.4356594E+00 -0.2453588E+00  0.0000000E+00  0.0000000E+00 -0.4343861E+00
  0.4686162E+00 -0.1743528E+00  0.0000000E+00  0.0000000E+00 -0.2835460E+00
  0.4870646E+00 -0.1129961E+00  0.0000000E+00  0.0000000E+00 -0.1453150E+00
  0.4958950E+00 -0.6393858E-01  0.0000000E+00  0.0000000E+00 -0.4496503E-01
  0.4991882E+00 -0.2847975E-01  0.0000000E+00  0.0000000E+00 -0.1133493E-01
  0.4999493E+00 -0.7123552E-02  0.0000000E+00  0.0000000E+00 -0.1951281E-02
 -0.5000000E+01 -0.2500000E+01  0.1000000E+01  0.0000000E+00  0.6090256E+01
 -0.4743590E+01 -0.2500000E+01  0.1000000E+01  0.0000000E+00  0.6098845E+01
 -0.4487179E+01 -0.2500000E+01  0.1000000E+01  0.0000000E+00  0.6106575E+01
 -0.4230769E+01 -0.2500000E+01  0.1000000E+01  0.0000000E+00  0.6118033E+01
 -0.3974359E+01 -0.2500000E+01  0.1000000E+01  0.0000000E+00  0.6115753E+01
 -0.3717949E+01 -0.2500000E+01  0.1000000E+01  0.0000000E+00  0.6074764E+01
 -0.3461538E+01 -0.2500000E+01  0.1000000E+01  0.0000000E+00  0.5997691E+01
 -0.3205128E+01 -0.2500000E+01  0.1000000E+01  0.0000000E+00  0.6009692E+01
 -0.2948718E+01 -0.2500000E+01  0.1000000E+01  0.0000000E+00  0.6104872E+01
 -0.2692308E+01 -0.2500000E+01  0.1000000E+01  0.0000000E+00  0.6396815E+01
 -0.2435897E+01 -0.2500000E+01  0.1000000E+01  0.0000000E+00  0.6236163E+01
 -0.2179487E+01 -0.2500000E+01  0.1000000E+01  0.0000000E+00  0.5420642E+01
 -0.1923077E+01 -0.2500000E+01  0.1000000E+01  0.0000000E+00  0.6477639E+01
 -0.1666667E+01 -0.2500000E+01  0.1000000E+01  0.0000000E+00  0.6499674E+01
