!  N_interior   N_neighbours     S
400 9 12.533525882469215
400 16 12.818756976164309
400 25 12.731418639713493
800 9 12.605112202661106
800 16 12.688405793511022
800 25 12.639053506851784
1600 9 12.457011079408980
1600 16 12.595119169358085
1600 25 12.586952499247126
3200 9 12.502862015743702
3200 16 12.547901441992156
3200 25 12.496940661268344
4800 9 12.464722938891445
4800 16 12.545530293706838
4800 25 12.524348571303056
6400 9 12.479845058113584
6400 16 12.445038759463747
6400 25 12.496900916694763
9600 9 12.456644235826690
9600 16 12.364798847137871
9600 25 12.489099012733828
12800 9 12.443930838780062
12800 16 12.492856971410859
12800 25 12.496466151381860
19200 9 12.444714703826889
19200 16 12.465456491437829
19200 25 12.490264401768769
